major_name,median_earnings_1yr,median_earnings_5yr,median_growth,median_growth_pct,earnings_variation,school_count,earnings_rank,growth_rank,consistency_rank,low_earnings_flag,high_growth_flag
"Computer and Information Sciences, General.",61941,86745,26283,0.4211079672835784,24777,391,46,56,261,FALSE,TRUE
Computer/Information Technology Administration and Management.,58166,74894,16762,0.2808410823489989,13279,69,87,174,171,FALSE,FALSE
Construction Engineering Technologies.,72859,91651,19842,0.2717947883923446,16221,37,35,128,213,FALSE,FALSE
Construction Engineering.,80936,102183,25263,0.31213551448057725,10082.5,7,11,63,106,FALSE,TRUE
Construction Management.,73270.5,92752,21073.5,0.2728273917080777,13531.5,44,33,111,175,FALSE,FALSE
Cosmetology and Related Personal Grooming Services.,NA,17368,NA,NA,0,1,294,NA,1,TRUE,NA
"Crafts/Craft Design, Folk Art and Artisanry.",25027,39210,12849,0.520012199482221,4669,3,281,224,24,TRUE,FALSE
Criminal Justice and Corrections.,37952,52188,13406,0.36236969759521104,11519,693,201,219,142,FALSE,FALSE
Criminology.,37214,54270.5,18207,0.4763471140876068,12670.75,102,185,149,164,FALSE,FALSE
Culinary Arts and Related Services.,30409,39083,8823,0.3020693654187656,4196,29,282,258,17,TRUE,FALSE
Cultural Studies/Critical Theory and Analysis.,21458,44050.5,30131,1.4041849193773883,7538.5,2,261,31,54,TRUE,TRUE
Curriculum and Instruction.,45004,50406,2286,0.05079548484579149,8922,3,216,281,80,FALSE,FALSE
Dance.,23191,32954,11566,0.5506175339137477,12252.5,39,288,243,157,TRUE,FALSE
Data Processing.,NA,62901,NA,NA,0,1,140,NA,1,FALSE,NA
Dental Support Services and Allied Professions.,60002,63388,2455,0.03653142457028241,11326.25,58,138,280,138,FALSE,FALSE
Design and Applied Arts.,32829,50166.5,18340.5,0.5595092279389824,14687.5,298,220,146,197,FALSE,FALSE
Dietetics and Clinical Nutrition Services.,31282.5,55496.5,21424.5,0.6960269865988902,6543.25,68,173,107,40,FALSE,FALSE
Drafting/Design Engineering Technologies/Technicians.,60463.5,76710,16079.5,0.2481503699260148,18239.75,8,82,186,230,FALSE,FALSE
Drama/Theatre Arts and Stagecraft.,20655.5,34577,12974,0.6578713476280413,7973,225,286,223,64,TRUE,FALSE
"East Asian Languages, Literatures, and Linguistics.",27340,52552,29153,1.0296790835134202,14043.5,27,197,34,185,FALSE,TRUE
"Ecology, Evolution, Systematics, and Population Biology.",29318,47544,17657,0.5908781484002723,11415.5,54,245,161,139,TRUE,FALSE
